iter	MAE
0	6.755617682
1	6.429653517
2	6.144707776
3	5.899906406
4	5.678794184
5	5.485990912
6	5.332528583
7	5.185222946
8	5.050838327
9	4.939443133
10	4.846191731
11	4.760998559
12	4.682142579
13	4.608415812
14	4.542534053
15	4.490943807
16	4.443903919
17	4.399580842
18	4.363577303
19	4.330196434
20	4.298863509
21	4.275473418
22	4.251706186
23	4.227914914
24	4.210149836
25	4.192958735
26	4.174754479
27	4.161986459
28	4.146709702
29	4.133164129
30	4.122827731
31	4.110603722
32	4.098521967
33	4.088251103
34	4.0773949
35	4.069857929
36	4.060876003
37	4.054248031
38	4.047843081
39	4.042934629
40	4.03451255
41	4.029638457
42	4.02304919
43	4.017607643
44	4.012931551
45	4.009213384
46	4.00512683
47	4.000208913
48	3.997209734
49	3.991585748
50	3.986581464
51	3.982517774
52	3.979198971
53	3.975162725
54	3.972409621
55	3.969842492
56	3.966368766
57	3.96345145
58	3.960793623
59	3.957734933
60	3.955764581
61	3.953074774
62	3.950421718
63	3.948826711
64	3.946510572
65	3.943618346
66	3.941435314
67	3.939668899
68	3.937222034
69	3.934372332
70	3.932817481
71	3.931208938
72	3.928643526
73	3.926683795
74	3.923219569
75	3.92021284
76	3.91878849
77	3.916887952
78	3.913832373
79	3.911908757
80	3.909768591
81	3.907036051
82	3.905952461
83	3.904098116
84	3.902470038
85	3.899994208
86	3.89827225
87	3.897029767
88	3.895494637
89	3.893910343
90	3.89258204
91	3.891361705
92	3.890032985
93	3.889063105
94	3.887952861
95	3.886943478
96	3.886069336
97	3.884627808
98	3.883413979
99	3.882281952
100	3.880840961
101	3.879510454
102	3.878513282
103	3.877073534
104	3.875687324
105	3.874210545
106	3.872925152
107	3.871683009
108	3.871094264
109	3.869162663
110	3.868291767
111	3.867164537
112	3.866072167
113	3.865363215
114	3.863934962
115	3.862562411
116	3.86106593
117	3.859814173
118	3.858971709
119	3.858328225
120	3.856725979
121	3.856003861
122	3.855045037
123	3.85408325
124	3.85339316
125	3.852732121
126	3.85162166
127	3.850487141
128	3.850055052
129	3.848926116
130	3.848029966
131	3.846466589
132	3.845545826
133	3.844098137
134	3.842881579
135	3.842373146
136	3.841286334
137	3.839998826
138	3.839087583
139	3.837184769
140	3.836406519
141	3.834344599
142	3.832745662
143	3.831039293
144	3.829845033
145	3.829117746
146	3.828158966
147	3.82705836
148	3.826006996
149	3.825188051
150	3.823454524
151	3.822609222
152	3.82086886
153	3.819674286
154	3.818796071
155	3.817603446
156	3.816716558
157	3.815973758
158	3.815339303
159	3.814449515
160	3.813581547
161	3.812668696
162	3.811988117
163	3.811093423
164	3.80982973
165	3.809022844
166	3.807890865
167	3.807101611
168	3.806166433
169	3.804593907
170	3.804001785
171	3.803370935
172	3.802633306
173	3.802268638
174	3.801377998
175	3.800769671
176	3.799352133
177	3.798375194
178	3.796960729
179	3.796451083
180	3.795986423
181	3.795242051
182	3.794317248
183	3.79348145
184	3.7925216
185	3.79205547
186	3.791200665
187	3.790433433
188	3.789085194
189	3.788519959
190	3.787802749
191	3.78709327
192	3.786431676
193	3.785836542
194	3.78466929
195	3.784188482
196	3.783578513
197	3.782704234
