iter	Passed	Remaining
0	182	194817
1	353	188035
2	516	182972
3	684	181664
4	865	183588
5	1054	186226
6	1210	183128
7	1365	180634
8	1534	180167
9	1700	179581
10	1859	178376
11	2025	177937
12	2187	177172
13	2351	176685
14	2510	175882
15	2666	174991
16	2820	174058
17	2980	173516
18	3138	172929
19	3301	172649
20	3458	172086
21	3609	171292
22	3777	171285
23	3938	171013
24	4101	170805
25	4256	170275
26	4423	170224
27	4585	169990
28	4757	170106
29	4904	169371
30	5047	168517
31	5210	168357
32	5374	168242
33	5529	167838
34	5679	167314
35	5835	166973
36	6004	167003
37	6156	166556
38	6304	166008
39	6462	165775
40	6620	165514
41	6772	165119
42	6928	164830
43	7083	164532
44	7254	164602
45	7411	164332
46	7558	163868
47	7727	163897
48	7887	163701
49	8042	163417
50	8206	163334
51	8364	163099
52	8529	163034
53	8695	162969
54	8867	163005
55	9022	162725
56	9225	163302
57	9383	163074
58	9539	162815
59	9692	162506
60	9882	162814
61	10044	162653
62	10201	162418
63	10372	162396
64	10523	162065
65	10683	161868
66	10843	161685
67	11001	161462
68	11172	161436
69	11320	161081
70	11474	160804
71	11624	160479
72	11784	160299
73	11943	160112
74	12106	159967
75	12296	160178
76	12463	160078
77	12620	159856
78	12778	159645
79	12925	159300
80	13073	158980
81	13225	158708
82	13395	158643
83	13553	158451
84	13717	158311
85	13854	157871
86	13996	157497
87	14139	157136
88	14297	156955
89	14445	156656
90	14609	156534
91	14761	156275
92	14928	156185
93	15078	155914
94	15227	155639
95	15371	155316
96	15514	154988
97	15655	154640
98	15795	154289
99	15937	153960
100	16097	153802
101	16238	153467
102	16378	153127
103	16520	152815
104	16664	152515
105	16820	152332
106	16983	152213
107	17130	151951
108	17296	151861
109	17452	151680
110	17614	151549
111	17758	151264
112	17920	151132
113	18078	150974
114	18234	150794
115	18385	150573
116	18565	150584
117	18718	150382
118	18865	150129
119	19033	150044
120	19190	149872
121	19346	149697
122	19508	149566
123	19660	149358
124	19817	149189
125	19972	149004
126	20133	148861
127	20290	148689
128	20457	148591
129	20608	148383
130	20764	148205
131	20912	147974
132	21068	147799
133	21239	147728
134	21392	147532
135	21554	147394
136	21711	147227
137	21868	147057
138	22016	146826
139	22160	146574
140	22322	146439
141	22489	146341
142	22643	146154
143	22798	145972
144	22954	145803
145	23104	145590
146	23250	145354
147	23408	145192
148	23562	145010
149	23751	145043
150	23906	144866
151	24052	144633
152	24202	144425
153	24358	144251
154	24525	144145
155	24693	144045
156	24851	143885
157	25013	143747
158	25163	143545
159	25315	143346
160	25469	143167
161	25624	142990
162	25772	142774
163	25915	142533
164	26066	142337
165	26240	142269
166	26399	142112
167	26552	141928
168	26705	141744
169	26870	141621
170	27026	141453
171	27170	141224
172	27321	141031
173	27475	140850
174	27637	140713
175	27799	140576
176	27948	140373
177	28096	140165
178	28254	140011
179	28398	139785
180	28460	139155
181	28609	138962
182	28771	138828
183	28920	138629
184	29074	138455
185	29225	138270
186	29377	138088
187	29525	137892
188	29675	137700
189	29839	137577
190	30000	137437
191	30158	137282
192	30307	137089
193	30453	136885
194	30597	136670
195	30793	136687
196	30953	136543
197	31121	136430
198	31316	136439
